GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
murasaki,com.backend.murasaki.dtos,LinkDTO,23,0,0,0,10,0,5,0,5,0
murasaki,com.backend.murasaki.dtos,StudentDTO,36,67,0,0,18,24,9,12,9,12
murasaki,com.backend.murasaki.dtos,LessonDTO,18,38,0,0,7,17,1,11,1,11
murasaki,com.backend.murasaki.dtos,SearchStudentByDTO,27,0,0,0,12,0,6,0,6,0
murasaki,com.backend.murasaki.dtos,AddInterestDTO,26,0,0,0,12,0,6,0,6,0
murasaki,com.backend.murasaki.dtos,InterestDTO,3,17,0,0,2,8,1,5,1,5
murasaki,com.backend.murasaki.dtos,UserDTO,8,15,0,0,4,6,2,3,2,3
murasaki,com.backend.murasaki.dtos,TeacherDTO,0,16,0,0,0,8,0,4,0,4
murasaki,com.backend.murasaki.dtos,StudentDTOout,24,39,0,0,12,14,6,7,6,7
murasaki,com.backend.murasaki.dtos,HomeWorkDTO,24,0,0,0,11,0,7,0,7,0
murasaki,com.backend.murasaki.dtos,UserCredentialsDTO,8,15,0,0,4,6,2,3,2,3
murasaki,com.backend.murasaki.dtos,UserLoggedDTO,12,21,0,0,6,8,3,4,3,4
murasaki,com.backend.murasaki.dtos,UserRegisterDTO,8,15,0,0,4,6,2,3,2,3
murasaki,com.backend.murasaki.services,StudentService,102,266,8,2,12,41,12,14,7,14
murasaki,com.backend.murasaki.services,SendMailService,0,24,0,0,0,8,0,2,0,2
murasaki,com.backend.murasaki.services,JwtService,19,37,0,0,3,5,1,2,1,2
murasaki,com.backend.murasaki.services,LinkService,31,3,0,0,3,1,3,1,3,1
murasaki,com.backend.murasaki.services,LessonService,81,21,0,0,11,3,4,4,4,4
murasaki,com.backend.murasaki.services,UserService,73,188,1,1,9,32,8,10,7,10
murasaki,com.backend.murasaki.services,TeacherService,13,67,0,0,1,13,2,8,2,8
murasaki,com.backend.murasaki.services,InterestService,5,62,0,0,0,11,1,7,1,7
murasaki,com.backend.murasaki.exceptions,HttpErrorException,10,0,0,0,4,0,2,0,2,0
murasaki,com.backend.murasaki.exceptions,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
murasaki,com.backend.murasaki.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
murasaki,com.backend.murasaki.interceptors,JwtInterceptor,40,3,2,0,12,1,2,1,1,1
murasaki,com.backend.murasaki.models,Link,33,12,0,0,15,5,5,4,5,4
murasaki,com.backend.murasaki.models,Interest,24,21,0,0,11,9,4,5,4,5
murasaki,com.backend.murasaki.models,HomeWork,56,3,0,0,23,2,10,1,10,1
murasaki,com.backend.murasaki.models,Student,60,132,0,0,23,44,6,23,6,23
murasaki,com.backend.murasaki.models,Lesson,45,39,0,0,20,15,7,8,7,8
murasaki,com.backend.murasaki.models,Teacher,20,33,0,0,9,12,3,7,3,7
murasaki,com.backend.murasaki.models,User,31,27,0,0,14,10,5,6,5,6
murasaki,com.backend.murasaki.controllers,LessonController,6,12,0,0,1,3,1,3,1,3
murasaki,com.backend.murasaki.controllers,StudentController,6,99,0,0,2,14,1,10,1,10
murasaki,com.backend.murasaki.controllers,UserController,17,18,0,0,5,4,2,4,2,4
murasaki,com.backend.murasaki.controllers,InterestController,0,36,0,0,0,8,0,7,0,7
murasaki,com.backend.murasaki.controllers,TeacherController,0,42,0,0,0,9,0,8,0,8
murasaki,com.backend.murasaki.configs,Cors,0,134,0,0,0,21,0,4,0,4
murasaki,com.backend.murasaki.configs,InterceptorConfig,0,16,0,0,0,3,0,2,0,2
murasaki,com.backend.murasaki,MurasakiApplication,5,3,0,0,2,1,1,1,1,1
